<-0.13,-0.50,0.47,0.54,-0.51,-0.46,-6.70,0.00,3663.67,-43.73,-42.13,1.33>
<-0.14,-0.50,0.47,0.54,-0.51,-0.47,-6.45,0.00,3674.67,-43.62,-41.93,1.43>
<-0.13,-0.50,0.46,0.53,-0.51,-0.47,-7.48,0.00,3658.16,-44.06,-42.24,1.48>
<-0.12,-0.49,0.46,0.52,-0.51,-0.49,-6.46,0.00,3647.16,-44.28,-42.34,1.33>
<-0.11,-0.49,0.47,0.53,-0.53,-0.51,-7.16,0.00,3630.66,-44.50,-42.86,1.32>
<-0.11,-0.48,0.46,0.50,-0.54,-0.52,-5.82,0.00,3619.66,-45.37,-44.00,1.18>
<-0.10,-0.49,0.47,0.53,-0.56,-0.53,-7.49,0.00,3592.15,-45.59,-43.38,1.41>
<-0.12,-0.50,0.44,0.48,-0.57,-0.55,-6.95,0.00,3526.14,-46.03,-42.86,1.34>
<-0.11,-0.50,0.45,0.50,-0.57,-0.54,-6.64,0.00,3570.15,-45.37,-42.65,1.44>
<-0.12,-0.50,0.43,0.48,-0.59,-0.59,-7.53,0.00,3542.64,-44.93,-42.13,1.40>
<-0.13,-0.50,0.44,0.49,-0.61,-0.60,-7.21,0.00,3641.66,-43.62,-41.20,1.35>
<-0.14,-0.50,0.41,0.46,-0.65,-0.62,-7.80,0.00,3663.67,-43.18,-40.99,1.31>
<-0.14,-0.50,0.41,0.48,-0.59,-0.52,-6.85,0.00,3696.67,-42.86,-40.79,1.31>
<-0.17,-0.50,0.41,0.50,-0.57,-0.50,-6.70,0.00,3696.67,-43.07,-41.31,1.39>
